,City,Country,Lat,Long,Hotel Name
0,Ancud,CL,-41.87,-73.82,13 Lunas Hostel
1,Ucluelet,CA,48.93,-125.55,Water's Edge Shoreside Suites
2,Thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
3,Busselton,AU,-33.65,115.33,Broadwater Resort
4,Puerto Ayora,EC,-0.74,-90.35,Hotel Solymar Galapagos
5,Cape Town,ZA,-33.93,18.42,Atlanticview Cape Town Boutique Hotel
6,Rikitea,PF,19.22,-104.7,Hotel Trivento
7,Uray,RU,-21.21,-159.78,The Edgewater Resort and Spa
8,Kon Tum,VN,-46.13,167.68,Waiau Hotel
9,San Patricio,MX,5.41,100.34,"Eastern & Oriental Hotel, Penang"
10,Valle de Allende,MX,69.45,-133.04,Hunter's B&B
11,Port Lincoln,AU,-0.72,8.78,Jimmy Hotel
12,Avarua,CK,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
13,Kavaratti,IN,36.08,32.84,MayaLuna Ecolodge
14,Tuatapere,NZ,33.87,-118.08,DoubleTree by Hilton Hotel Los Angeles - Norwalk
15,George Town,MY,42.1,-79.24,Chautauqua Harbor Hotel
16,Tuktoyaktuk,CA,71.29,-156.79,Top of the World Hotel
17,Pinega,RU,-46.19,168.86,Ellie's Villa
18,Port-Gentil,GA,63.75,-68.51,Frobisher Inn
19,Atuona,PF,15.85,-97.07,Punta Zicatela Hotel
20,Nanortalik,GL,42.25,-75.83,
21,Kapaa,US,-21.2,-175.2,Paradise First Hotel
22,Qaanaaq,GL,-21.64,-41.05,Pousada Kactus
23,Anamur,TR,23.72,85.5,HOTEL BHUNESHWAR
24,Lorengau,PG,35.73,140.83,Inubosaki Kanko Hotel
25,Artesia,US,-54.8,-68.3,Los Cauquenes Resort & Spa
26,Ahipara,NZ,-20.52,57.52,Shanti Maurice Resort & Spa
27,Ostrovnoy,RU,-33.87,121.9,Esperance Seafront Holiday Units
28,Jamestown,US,-33.01,17.94,Fijnbosch Luxury Apartments Jacobsbaai
29,Provideniya,RU,64.5,-165.41,Aurora Inn & Suites
30,Barrow,US,16.86,-99.89,Hotel Elcano Acapulco
31,Mataura,NZ,59.7,30.79,Tourist House - Sablino
32,Iqaluit,CA,37.1,-113.58,Red Lion Hotel & Conference Center St. George
33,Kem',RU,42.6,-73.97,
34,Chokurdakh,RU,34.8,-106.54,
35,Khatanga,RU,51.38,1.39,Sands Hotel Margate
36,Puerto Escondido,MX,38.89,-76.51,
37,Broome,US,46.62,10.7,Untertelshof
38,Vaini,TO,22.29,114.16,The Harbourview
39,São João da Barra,BR,50.02,-125.24,Coast Discovery Inn
40,Kuju,IN,54.63,-8.45,Tara Hotel
41,Hasaki,JP,-53.15,-70.92,Patagonia B&B
42,Zaria,NG,-15.33,28.68,Mika Lodge
43,Ushuaia,AR,-33.59,26.89,The Halyards Hotel
44,Souillac,MU,-35.62,174.5,Pacific Rendezvous Motel Resort
45,Kaitangata,NZ,-34.42,19.23,7 on Marine
46,Tocopilla,CL,62.46,-114.35,The Explorer Hotel
47,Esperance,AU,13.24,99.82,Sawang Resort and Golf Club
48,Saldanha,ZA,-22.96,14.51,IRIS Boutique Hotel & Restaurant
49,Zyryanka,RU,47.67,-122.12,Hyatt House Seattle/Redmond
50,Nome,US,59.29,24.97,
51,Nedryhayliv,UA,-21.36,55.77,Pinpin d'Amour
52,Acapulco de Juárez,MX,-34.53,20.04,A Taste of Heaven
53,Chui,UY,45.02,-93.22,The Grand Hotel Minneapolis
54,Takhtamygda,RU,-2.76,-42.27,Baluarte Pousada e Ecoturismo
55,Nikolskoye,RU,49.78,-74.85,Hôtel Opémiska
56,Paamiut,GL,55.34,-131.65,The Gilmore Hotel
57,Mathathane,BW,-42.78,147.06,Old Colony Inn
58,Saint George,US,-26.65,15.16,Kairos Cottage
59,Kudahuvadhoo,MV,57.79,-152.41,Shelikof Lodge
60,Albany,US,40.6,-124.16,Bear River Casino Resort
61,Saskylakh,RU,38.52,-28.7,Quinta Das Buganvílias
62,Nioro,GM,-13.85,136.42,Groote Eylandt Lodge
63,São Raimundo das Mangabeiras,BR,-46.6,168.33,Foveaux Hotel
64,Aksarka,RU,69.22,-51.1,Hotel Arctic
65,Meadow Lake,US,-6.84,-79.93,Hotel Puerto del Sol
66,Margate,GB,58.21,-6.39,Royal Hotel
67,Mayo,US,55.1,-105.28,The Harbour Inn
68,Laas,IT,-19.98,23.42,Cresta Riley's
