City,City ID,Country,Lat,Long,Temp,Max Temp,Humidity,Wind Speed,Cloud Cover
Ushuaia,8303,AR,-54.8,-68.3,42.8,42.8,87,19.46,40
Talnakh,8951,RU,69.49,88.4,24.8,24.8,92,4.47,75
Nikolskoye,8926,RU,59.7,30.79,46.2,48,81,11.18,90
Rome,5681,US,43.21,-75.46,55.96,61,81,14.99,90
Pimenta Bueno,2011314,BR,-33.59,26.89,66.99,66.99,68,4,16
Port Alfred,2004005,ZA,22.89,-109.91,59.14,64.99,73,8.68,0
Rikitea,998,PF,47.67,-52.73,32.79,35.01,80,11.41,20
Cabo San Lucas,1185,MX,6.62,3.5,91.4,91.4,63,4.7,75
Torbay,935,CA,55.74,-97.86,-5.8,-5.8,76,6.93,75
Bantou,7431,CN,29.97,40.21,80.6,80.6,12,4.7,0
Ikorodu,1912,NG,-33.02,27.91,71.6,71.6,49,6.93,20
Thompson,4588,CA,42.1,-79.24,57.99,60.01,87,21.92,90
Sakakah,9675,SA,44.38,125.17,59,59,19,8.95,40
East London,2011706,ZA,-33.65,115.33,66.99,66.99,52,7.31,77
Dolores,8487,AR,-53.15,-70.92,48.09,48.2,66,28.86,20
Jamestown,1966,US,-34.53,20.04,68.47,69.8,32,10.54,19
Nong’an,950,CN,48.38,-77.23,37.4,37.4,93,6.93,90
Busselton,2031989,AU,-45.87,170.5,41.81,44.01,76,3,16
Atuona,1602,PF,62.58,6.13,32.58,39.2,64,19.46,75
Punta Arenas,9524,CL,-23.53,148.17,76.14,77,53,8.05,33
Bredasdorp,7177,ZA,20.51,-86.95,80.67,81,83,18.34,20
Bambanglipuro,9154,ID,22.29,114.16,69.57,72,30,9.17,58
Senneterre,2006131,CA,-34.42,19.23,66.99,66.99,62,4,43
Tura,819,IN,60.82,-115.8,8.6,8.6,65,6.93,40
Severo-Kuril'sk,2008959,RU,-46.6,168.33,39.99,39.99,91,3,89
Lebu,2008959,CL,-46.19,168.86,39.99,39.99,91,3,98
Dunedin,8326,NZ,-22.97,-42.03,67.23,68,94,3.36,40
Pozo Colorado,1973,PY,-33.92,25.57,71.6,71.6,40,10.29,9
Roald,8029,NO,34.35,132.33,50.43,51.8,53,11.41,75
Emerald,7649,AU,71.29,-156.79,21.2,21.2,92,4.7,90
Esim,7881,GH,19.73,-155.09,65.17,71.6,83,4.7,20
San Miguel de Cozumel,47,MX,60.92,-46.05,32,32,95,14.99,100
Kruisfontein,9429,ZA,5.41,100.34,90.16,91.4,70,10.29,20
Hong Kong,8452,HK,-5.2,-35.46,77,77,94,4.7,20
Hermanus,1663,ZA,78.22,15.64,6.8,6.8,71,6.93,75
Hay River,6434,CA,42.78,-9.06,55.58,60.01,76,6.93,40
Bluff,796,NZ,68.22,-135.01,26.6,26.6,58,6.93,40
Batagay-Alyta,4747,RU,34.64,-120.46,51.94,55.4,93,4.7,90
São Filipe,9157,CV,31.63,74.87,93.78,96.8,43,8.05,40
Mataura,7873,NZ,22.08,-159.32,67.42,71.6,64,10.29,1
Arraial do Cabo,8474,BR,-20.33,-40.29,74.57,75.2,69,6.93,75
Port Elizabeth,7285,ZA,-21.2,-175.2,71.6,71.6,94,4.7,20
Castro,9505,BR,-24.87,113.63,80.6,80.6,83,17.22,0
Zhangye,7271,CN,-21.21,-159.78,77,77,88,3.36,92
Hatsukaichi,9545,JP,-42.88,147.33,52.95,55.4,76,5.82,75
Barrow,7879,US,20.89,-156.47,67.01,69.8,88,11.41,75
Kaka,9677,TM,44.02,87.32,77,77,17,8.95,75
Airai,797,TL,63.75,-68.51,19.2,19.4,73,8.05,90
Hilo,2000456,US,26.59,101.71,71.01,71.01,56,2.24,79
Constitución,8964,CL,43.32,45.99,57.2,57.2,30,6.71,0
Yerbogachën,7477,RU,26.96,56.27,77.81,82.4,69,26.4,90
Narsaq,9576,GL,-12.23,136.77,80.6,80.6,83,4.7,84
